glucose_uptake,oxygen_uptake,ammonia_uptake,phosphate_uptake,EX_nh4_e_flux,EX_pi_e_flux,Biomass_Ecoli_core_flux
5.25,19.33,2.65,4.28,-2.391128930285142,-1.6131613108567984,0.43851396168668255
5.56,14.07,4.4,2.08,-2.5460760842857346,-1.7176955126287274,0.46693003306296504
7.07,5.4,0.77,0.17,-0.2519846684970163,-0.17,0.04621197705711128
3.57,14.79,2.02,2.24,-1.5514153215077333,-1.0466533786734469,0.2845171877765072
9.05,8.77,2.62,3.94,-2.62,-1.767567855046935,0.4804870892018791
4.03,15.59,4.33,4.75,-1.7813369048634506,-1.2017686458188808,0.3266829711090545
1.56,23.17,2.51,1.37,-0.546757968149047,-0.36886710266833456,0.10027104756254533
4.65,24.5,2.51,1.71,-2.0912312128646384,-1.410837049362724,0.38351511386161957
6.37,6.08,0.47,0.73,-0.47,-0.31708278315729055,0.08619424882629145
1.37,3.88,0.78,3.24,-0.36188202718619744,-0.24414161777616436,0.06636627552563776
1.9,8.71,4.49,2.42,-0.7167000080206639,-0.4835175175149637,0.1314370613300812
6.71,4.39,1.04,0.3,-1.04,-0.3,0.08155054774784819
1.77,7.04,0.97,0.53,-0.6517221692462214,-0.4396805941912625,0.11952064430131744
1.29,11.57,1.11,1.88,-0.41081002073489997,-0.27715060579472506,0.07533927903735697
5.08,17.29,0.29,4.02,-0.29,-0.1956468236502288,0.05318368544600983
6.32,2.14,4.38,4.61,-0.9630043512187229,-0.6496853188872337,0.17660731206329283
0.7,6.99,4.05,3.77,-0.11178897991094215,-0.07541778909888103,0.02050120670315108
1.93,5.31,1.92,2.47,-0.6810669819872444,-0.4594779024788129,0.12490224875059501
6.22,9.29,2.37,3.76,-2.252773434210137,-1.519820575196026,0.4131406679522702
5.17,13.35,0.63,2.29,-0.63,-0.42502585827464456,0.11553697183098596
5.37,6.14,1.42,1.95,-1.42,-0.9579947916666672,0.2604166666666667
1.29,22.27,3.01,3.43,-0.4108100207348995,-0.27715060579472434,0.07533927903735688
7.91,12.51,0.53,2.73,-0.53,-0.35756143632629905,0.09719776995305153
5.91,18.66,2.22,0.73,-2.22,-0.73,0.19843966618642517
2.91,9.14,3.26,2.9,-1.2215278323451817,-0.8240966910299712,0.22401845516893665
3.63,24.66,3.07,1.26,-1.5814050932497827,-1.066885804822855,0.29001707255901255
1.11,3.91,1.31,0.89,-0.29673474714723996,-0.20019038188281002,0.05441878432131017
1.95,7.2,0.95,4.49,-0.7416914844723742,-0.5003778726394622,0.13602029864883627
0.89,13.16,2.11,4.91,-0.20808389136272537,-0.14038259447550763,0.03816092491247165
1.21,10.01,4.85,4.34,-0.37026479486046476,-0.24979700353088383,0.06790360821237985
8.19,6.52,0.94,3.38,-0.94,-0.6341655663145562,0.17238849765258185
9.3,13.96,2.9,1.47,-2.9,-1.47,0.39959768396444595
7.72,4.76,1.69,2.18,-1.69,-1.1401487309272325,0.3099325117370893
5.13,6.14,0.66,3.09,-0.66,-0.4452651848591564,0.12103873239436623
2.96,14.57,0.86,2.46,-0.86,-0.5801940287558701,0.15771713615023483
5.37,1.39,1.75,0.76,-0.6580076767969885,-0.4439210755268981,0.12067335622010501
0.73,24.75,1.68,4.07,-0.12699343961385465,-0.08567538994782356,0.023289583262517313
2.62,17.07,3.83,3.02,-1.0765772689252693,-0.7263066313078356,0.19743567872015652
4.77,10.35,1.81,4.65,-1.81,-1.221106037265259,0.3319395539906107
8.32,24.13,0.71,3.68,-0.71,-0.4789973958333406,0.13020833333333334
9.39,4.61,0.43,3.73,-0.43,-0.29009701437793506,0.07885856807511739
5.79,21.06,0.78,4.0,-0.78,-0.5262224911971868,0.14304577464788779
2.1,4.18,0.9,4.09,-0.5821822312841748,-0.39276587702191706,0.10676757469266705
6.69,13.12,1.86,4.4,-1.86,-1.2548382482394271,0.34110915492957883
3.99,20.43,2.25,1.95,-1.761343723702084,-1.1882803617192745,0.32301638125405013
4.68,7.6,3.76,2.56,-1.6561457262618127,-1.1173091408449483,0.3037239081319347
2.4,22.5,1.98,2.76,-0.9666147725377505,-0.6521210687600033,0.1772694345176339
9.07,15.64,0.67,4.71,-0.67,-0.4520116270539788,0.12287265258215994
6.31,8.44,0.78,3.99,-0.78,-0.5262224911971848,0.14304577464788737
6.24,13.38,4.48,3.96,-2.77016380380272,-1.868874997258126,0.5080259323288443
1.6,7.86,1.32,3.75,-0.5667511493104147,-0.38235538676792735,0.10393763741754981
3.49,20.55,0.64,4.25,-0.64,-0.43177230046949633,0.11737089201877929
1.36,9.99,4.01,0.83,-0.44628709337502903,-0.3010850077755868,0.08184549100921162
2.37,18.08,3.63,3.24,-0.9516198866667267,-0.6420048556853128,0.1745194921263804
6.97,13.61,1.33,1.79,-1.33,-0.8972768119131277,0.2439113849765264
1.9,22.72,2.96,2.06,-0.7167000080206648,-0.4835175175149711,0.1314370613300809
4.67,23.69,0.85,2.97,-0.85,-0.5734475865610252,0.1558832159624413
5.11,15.33,0.19,4.37,-0.19,-0.12818240170188003,0.034844483568075124
9.33,14.17,3.51,4.62,-3.51,-2.3680012103873223,0.6437059859154931
7.1,3.9,2.92,3.07,-1.438014023362672,-0.9701478483979369,0.2637202947774854
4.3,18.44,4.68,4.64,-1.9162908777026786,-1.2928145634912098,0.35143245263033274
4.56,2.92,4.93,4.21,-0.8237929978440496,-0.5557671840465321,0.15107706093090703
1.33,23.03,4.36,2.64,-0.431082633672118,-0.29082740692664627,0.07905711444984573
5.95,10.04,0.37,1.74,-0.37,-0.24961836120891615,0.06785504694835699
8.05,0.22,1.73,2.05,-0.8734681987770961,-0.5892802712076908,0.16018709631328787
5.42,23.0,1.8,1.8,-1.8,-1.2143595950704087,0.33010563380281516
7.4,11.36,1.2,2.32,-1.2,-0.8095730633802771,0.2200704225352113
1.49,4.49,2.54,2.15,-0.46827701211987943,-0.31592037934371353,0.08587826660062345
9.16,9.12,2.94,3.2,-2.743611064998974,-1.8509613455126983,0.5031563719555046
1.57,10.42,0.52,4.98,-0.52,-0.3508149941314563,0.09536384976525827
5.07,14.93,0.43,3.77,-0.43,-0.29009701437793384,0.07885856807511739
2.18,22.46,1.11,1.03,-0.8566522761502334,-0.5779355062121952,0.15710319031510983
7.78,11.39,2.67,2.26,-2.67,-1.8013000660211473,0.489656690140843
4.07,14.04,0.86,0.99,-0.86,-0.5801940287558748,0.15771713615023478
8.63,23.66,1.93,1.43,-1.93,-1.3020633436032896,0.35394659624413155
6.48,10.28,0.22,0.87,-0.22,-0.14842172828638547,0.040346244131455405
7.19,16.51,0.23,1.19,-0.23,-0.15516817048121678,0.042180164319248835
2.39,16.83,0.2,0.61,-0.2,-0.13492884389671364,0.03667840375586856
8.02,4.55,3.3,1.27,-1.7183995799969094,-1.159308343407914,0.31514076804520796
1.08,6.15,3.64,4.29,-0.3043788028145083,-0.20534739985213937,0.055820643121792156
8.32,9.99,3.37,1.1,-3.37,-1.1,0.2990186750754349
3.0,22.42,0.16,0.52,-0.16,-0.1079430751173705,0.029342723004694853
2.16,0.76,0.99,2.96,-0.0012079076214726416,-0.0008149078944966617,0.0002215206172007641
4.27,22.33,4.11,1.77,-1.901295991831655,-1.282698350416503,0.3486825102390806
2.67,9.55,2.99,1.41,-1.101568745376978,-0.7431669864323449,0.20201891603891184
6.28,10.29,2.81,2.24,-2.393400386566977,-1.6146937357071458,0.43893052863977733
3.02,23.72,3.84,0.79,-1.1709875771332308,-0.79,0.21474977573599469
8.7,12.24,4.48,4.02,-3.214956948716773,-2.1689521213403062,0.5895974451138454
4.31,0.66,1.42,2.75,-0.3386670993702715,-0.22847980091942402,0.06210884304765845
6.37,6.52,0.78,4.19,-0.78,-0.5262224911971725,0.14304577464788726
9.85,13.19,0.94,1.43,-0.94,-0.6341655663145523,0.17238849765258218
2.81,13.9,3.29,4.17,-1.1715448794417629,-0.7903759807809589,0.21485198053142665
