glucose_uptake,oxygen_uptake,EX_nh4_e_flux,EX_pi_e_flux,Biomass_Ecoli_core_flux
9.01,15.86,-3.774031779294639,-2.5461287240483927,0.6921273069422389
3.46,8.8,-1.4964340733139725,-1.009560597399523,0.27443406567524464
7.29,22.44,-3.410781169514852,-2.3010637999365904,0.6255100442918964
8.88,19.52,-4.1996117190293685,-2.833243770318607,0.770175271242182
6.46,2.2,-0.9980336722414243,-0.6733176478276152,0.18303140996211467
1.7,22.47,-0.6167341022138279,-0.4160760970169476,0.11310411205505998
6.1,0.33,-0.5711893165036704,-0.3853495706099607,0.10475156185880109
1.1,16.62,-0.3145151092831175,-0.21218580041810128,0.05767956082803667
5.53,17.33,-2.5310811984147055,-1.7075792995540326,0.46418009067171173
6.55,5.68,-1.6715649760919475,-1.1277116486116097,0.30655167548634615
7.15,6.01,-1.8363588376925317,-1.2388888747468414,0.33677355444772084
3.32,18.69,-1.4264579392491892,-0.9623516030509152,0.26160100118272966
6.53,21.25,-3.0309107274488816,-2.044786402044145,0.5558448370468169
6.61,14.25,-2.971688422324165,-2.004832416227218,0.5449839389532287
1.03,9.26,-0.2790380366429862,-0.18825139843722777,0.05117334885618139
2.73,6.18,-0.9902382911474734,-0.668058539033925,0.18160179928614179
9.73,9.89,-2.9810559838643313,-2.0111521874709855,0.5467018749751192
8.93,15.82,-3.748997665192598,-2.5292396036795215,0.6875362502187132
7.97,12.62,-3.108124344180294,-2.0968781222374147,0.570005198096446
5.81,12.36,-2.5348431312435182,-1.7101172657910637,0.46486999912769944
2.03,18.09,-0.7816778467951048,-0.5273544408386768,0.14335347835884463
2.88,0.71,-0.11097651272275862,-0.07486966280684564,0.020352206705318173
6.49,4.51,-1.4536118042976283,-0.9806708011424771,0.266580803311625
9.41,23.85,-4.4704197710672995,-3.015942857215643,0.8198393066071189
9.16,9.32,-2.7790506051281314,-1.8748704264020477,0.509655700764402
4.34,24.17,-1.936284058864045,-1.3063028475908136,0.355099042485337
9.64,21.34,-4.585380562745157,-3.0935004907883408,0.8409221982733931
3.02,9.69,-1.2765090805389385,-0.861189472303884,0.23410157727019854
8.53,7.99,-2.431743111862384,-1.6405614336869376,0.4459622784372038
1.78,13.96,-0.6567204645365645,-0.4430526652161635,0.12043729176506836
9.37,17.43,-4.060672385763029,-2.7395091522715647,0.744694906426612
5.74,2.52,-0.9412620140322211,-0.6350169767862927,0.1726199409536798
6.19,24.75,-2.86096868757725,-1.9301359871974948,0.5246788232792781
1.49,13.01,-0.5117699011166555,-0.3452626054940277,0.09385451531628808
8.79,18.55,-4.055665562942622,-2.7361313281978066,0.743776695081907
7.0,17.59,-3.2658306060949376,-2.2032737402144553,0.5989272678431156
3.66,7.41,-1.377015354024036,-0.9289954487324399,0.25253362566461934
8.11,20.27,-3.820641383322867,-2.5775736239784726,0.7006751363194822
8.68,22.84,-4.105544214872355,-2.769781672397812,0.752924041753293
5.16,12.59,-2.346144272672067,-1.5828126716326585,0.4302641345129231
8.0,16.28,-3.5737588664782978,-2.4110157610977376,0.6553988531540308
7.05,19.92,-3.290822082546649,-2.2201340953389677,0.6035105051618714
8.91,8.52,-2.5929930194500552,-1.7493477517332252,0.4755342245176892
3.82,2.44,-0.6066716028844196,-0.4092874900108098,0.11125872998907349
5.82,0.99,-0.6542329654798891,-0.44137448835658416,0.11998110429135292
4.71,13.61,-2.121220984606692,-1.4310694755121496,0.3890149986441265
2.94,14.81,-1.2365227182162044,-0.834212904104684,0.22676839756019018
8.24,9.07,-2.571729295372559,-1.7350023031996473,0.47163462723235017
1.36,13.1,-0.4462870933750296,-0.30108500777558544,0.08184549100921168
7.72,5.47,-1.8416747687119068,-1.242475236880222,0.33774845376905577
6.27,2.23,-0.972365635285133,-0.6560008550695884,0.17832409684659867
0.61,13.33,-0.06617560080220224,-0.044644986552060326,0.012136077025051845
5.45,15.97,-2.4910948360919756,-1.6806027313548109,0.4568469109617035
7.29,24.4,-3.410781169514852,-2.3010637999365904,0.6255100442918964
5.21,8.14,-1.8564186390781567,-1.252422103795617,0.3404523619201433
7.97,6.84,-2.1287350437580814,-1.4361387920834863,0.39039301712112773
