experiment,R_GLCptspp,R_PGI_fwd,R_PFK,R_FBA_fwd,R_TPI_fwd,R_PGK_rev,R_GAPD_fwd,R_ENO_fwd,R_PGM_rev,R_PYK,R_PDH,R_G6PDH2r_fwd,R_PGL,R_GND,R_RPE_fwd,R_RPI_rev,R_TKT1_fwd,R_TALA_fwd,R_TKT2_fwd,R_CS,R_ACONTb_fwd,R_ACONTa_fwd,R_ICDHyr_fwd,R_SUCOAS_rev,R_AKGDH,R_SUCDi,R_FUM_fwd,R_MDH_fwd,R_PPC,R_ME2,R_ICL,R_MALS,R_ACKr_rev,R_PTAr_fwd,R_LDH_D_rev,R_ACALD_rev,R_ALCD2x_rev,R_EX_glc__D_e_rev,R_EX_o2_e_rev,R_EX_co2_e_fwd,R_EX_etoh_e,R_EX_ac_e,R_EX_lac__D_e,R_EX_succ_e,R_EX_pyr_e,R_EX_for_e,R_BIOMASS_Ec_iAF1260_core_59p81M
gapC,2.989999999999997,1.9135999999999973,2.392,2.392,2.4289549333333462,5.139960933333358,5.139960933333358,4.785061733333383,4.785061733333383,1.2578767833337277,3.766393966667456,1.0764,1.0764,1.0764000000000007,0.5624241333333428,0.5060150666666587,0.3193462666666715,0.31934626666667143,0.24307786666667144,2.4621095166670743,2.1199833000007615,2.1199833000007615,0.7504441499996123,1.3754,0.5354057499996122,2.302300000000006,2.302299999999993,2.930200000000001,0.30627081666630657,0.0,1.3695391500011496,0.6279000000000079,-0.0,0.0,-0.0,-0.0,-0.0,2.9900000000000007,6.789999999999998,6.139999999999996,0.0,-9.075726901984169e-18,0.0,0.0,0.0,0.010000000000000002,0.2
gpmA,2.7000000000000006,2.346117550000009,2.3220000000000005,2.3220000000000005,2.379838716666669,4.80097851666667,4.800978516666669,4.457411616666674,4.457411616666674,0.7037097009132353,2.899951417579905,0.353882449999998,0.353882449999998,0.353882449999998,0.08079036666666634,0.26513128333333175,0.07846248333333329,0.07846248333333329,0.002327883333333044,2.2287834114155247,1.9809812061643786,1.9809812061643788,1.9430384000000005,1.7280000000000002,1.7280000000000006,1.944,1.974501206164374,2.012444012328752,0.8019039990867668,0.0,0.03794280616437838,0.03794280616437838,3.5084477716580516e-15,0.0,-0.0,-0.0,-0.0,2.6999999999999997,6.71,6.504105568493142,0.0,3.98424410997105e-15,0.0,0.0,0.0,0.0,0.2
gpmB,3.4324558053030727,2.214573355303054,2.8524661219697185,2.8524661219697185,2.8242945219697164,5.977890127272773,5.977890127272773,5.634323227272747,5.634323227272747,1.4440352219696715,4.286722427272743,1.2178824500000178,1.2178824500000178,1.2178824500000176,0.6567903666666641,0.5531312833333517,0.3664624833333321,0.3664624833333321,0.2903278833333321,0.21503839999999994,0.2150383999999999,0.2150383999999999,0.21503839999999988,2.9637,0.0,3.230099999999995,0.20855840000003587,0.20855840000003595,0.592044600000002,0.0,0.0,7.17320724107759e-17,3.3220216272727447,3.3220216272727443,-0.0,-0.0,-0.0,3.432455805303073,5.081541477272795,5.508735977272751,0.0,3.4384588272727448,0.0,0.0,0.0,0.0,0.2
pykA,2.819999999999997,2.4058175500000196,2.3688,2.3688,2.479738716666696,5.020878516666728,5.020878516666727,4.677311616666775,4.677311616666774,0.7301406773972245,3.00091991073058,0.41418244999997766,0.41418244999997766,0.41418244999997766,0.12099036666667219,0.285231283333305,0.09856248333333628,0.0,0.02242788333333591,2.2955395757991215,1.8945935349314635,1.8945935349314638,1.8224384000000002,1.6074000000000002,1.6074000000000002,2.086800000000001,1.888113534931402,1.9602686698628657,0.9208355059361947,0.0,0.07215513493146325,0.07215513493146324,-0.0,0.0,-0.0,-0.0,-0.0,2.82,7.17,6.30524255479438,0.0,1.1798444972579418e-16,0.0,0.0,0.0,0.0,0.2
pykF,2.8,2.3201124850000805,2.1,2.1000000000000005,2.437837028333373,4.958976828333392,4.958976828333391,4.615409928333417,4.615409928333417,0.7021421799999022,3.155139236666628,0.47988751499991844,0.47988751499991844,0.4798875149999184,0.16479374333329136,0.3071329716666282,0.12046417166664601,0.0,0.044329571666645376,1.6938070700001375,1.6938070700001373,1.6938070700001373,1.6938070700001373,1.2638859783333494,1.3688775783333493,1.792,1.5774359783333147,1.5774359783333147,0.7019356916667872,0.0,0.0,0.0,0.7116697666664905,0.7116697666664904,-0.0,-0.0,-0.0,2.8,6.06,6.376913008333255,0.0,0.8281069666664904,0.0,0.0,0.0,0.0,0.2
ppsA,2.9999999999999996,2.5674761487999995,2.46,2.4600000000000004,2.6536249162666627,5.374764716266665,5.3747647162666645,5.031197816266674,5.031197816266674,0.5239372743999988,3.0512889069333315,0.43252385119999975,0.43252385119999975,0.43252385119999975,0.13321796746666786,0.291345083733332,0.10467628373333412,0.0,0.02854168373333397,2.41806370693333,1.7857555975999986,1.7857555975999986,1.785755597599998,2.3699999999999997,1.5707171975999972,2.37,1.7792755975999857,1.7792755975999857,1.2243527093333413,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,3.0,9.95,5.997070143999996,0.0,0.0,0.0,0.0,0.0,0.0,0.2
zwf,3.1800000000000037,2.8331012000000184,2.8903382000000195,2.89033820000002,2.8621666000000214,5.763306400000043,5.763306400000042,5.419739500000064,5.419739500000064,0.37569077199997164,2.965922171999978,0.3468987999999823,0.3468987999999823,0.3468987999999823,0.07613460000000001,0.2628033999999823,0.07613460000000001,0.07613460000000001,0.0,2.332696971999975,1.9570057000000192,1.9570057000000194,1.9570057000000152,2.1624,1.741967300000015,3.021000000000013,1.9505256999999836,1.2200004439998458,1.6982611280000928,0.0,0.0,0.0,4.518455463499006e-15,0.0,-0.0,3.1954263002365994e-18,-0.0,3.1800000000000037,8.76,5.694670143999907,0.0,4.093152832794859e-15,0.0,0.0,0.0,0.0,0.2
pgl,3.322225599359011,2.6208,2.8896,2.8896,2.8896,5.812800000000001,5.8128,5.4432,5.4432,1.713600000000001,4.401599999999998,0.672,0.672,0.6719999999999995,0.2687999999999999,0.39523919999999957,0.17253419999999994,0.17253419999999997,0.09626579999999996,2.9568,2.9568,2.9568,2.452799999999999,2.184,2.1840000000000006,2.688,2.688,3.1584,1.1086655333333122,0.0,0.5040000000000009,0.5040000000000001,-0.0,0.0,-0.0,-0.0,-0.0,3.36,11.87,7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.2
gnd,2.919999999999999,2.430279764999978,2.582731054999989,2.582731054999989,2.5545594549999944,5.195699254999989,5.1956992549999885,4.852132354999982,4.852132354999982,0.9371863300000134,3.267417730000013,0.48972023500002104,0.48972023500002104,0.4897202350000211,0.17134889000001058,0.31041054500001075,0.12374174500000529,0.1237417450000053,0.04760714500000528,1.6713628299999637,1.6713628299999634,1.6713628299999634,1.6713628299999634,2.482000000000001,1.219210604999991,2.949200000000002,1.4277690050000016,1.4277690050000016,0.8291584249999704,0.0,0.0,0.0,0.8463925000000494,0.8463925000000494,-0.0,-0.0,-0.0,2.9199999999999995,6.01,6.199690275000019,0.0,0.9628297000000493,0.0,0.0,0.0,0.0,0.2
rpe,3.4965295000000003,3.3395999999999972,3.339599999999997,3.339599999999997,3.3395999999999995,6.5703000000000005,6.5703000000000005,6.279899999999997,6.279899999999996,2.5410000000000093,5.553900000000001,0.254100000000001,0.25410000000000055,0.3468988000000018,0.0761346,0.26280340000000135,0.0761346,0.0363,0.0,3.9480414571428506,3.948041457142868,3.9480414571428684,1.120821228571421,3.1581000000000103,0.5930872857142835,3.811500000000006,3.8115000000000103,4.428599999999998,0.5125994285714109,0.0,2.8272202285714467,0.6170999999999947,-0.0,0.0,-0.0,0.05,0.049999999999999996,3.63,8.04,6.320000000000011,0.049999999999999996,-9.075726901984169e-18,0.0,0.0,0.0,0.010000000000005638,0.2
