experiment,R_GLCptspp,R_PGI_fwd,R_PFK,R_FBA_fwd,R_TPI_fwd,R_PGK_rev,R_GAPD_fwd,R_ENO_fwd,R_PGM_rev,R_PYK,R_PDH,R_G6PDH2r_fwd,R_PGL,R_GND,R_RPE_fwd,R_RPI_rev,R_TKT1_fwd,R_TALA_fwd,R_TKT2_fwd,R_CS,R_ACONTb_fwd,R_ACONTa_fwd,R_ICDHyr_fwd,R_SUCOAS_rev,R_AKGDH,R_SUCDi,R_FUM_fwd,R_MDH_fwd,R_PPC,R_ME2,R_ICL,R_MALS,R_ACKr_rev,R_PTAr_fwd,R_LDH_D_rev,R_ACALD_rev,R_ALCD2x_rev,R_EX_glc__D_e_rev,R_EX_o2_e_rev,R_EX_co2_e_fwd,R_EX_etoh_e,R_EX_ac_e,R_EX_lac__D_e,R_EX_succ_e,R_EX_pyr_e,R_EX_for_e,R_BIOMASS_Ec_iAF1260_core_59p81M
pfkB,2.891902427777781,2.2228895611111112,2.1868000000000007,2.1868000000000007,2.4666976722222236,5.079739900000008,5.079739900000007,4.736173000000008,4.736173000000008,0.7783690999999985,3.3885722000000076,0.6690128666666697,0.6690128666666697,0.6690128666666697,0.2908773111111119,0.37017475555555673,0.18350595555555604,0.18350595555555604,0.10737135555555591,1.312777566666664,1.3127775666666637,1.3127775666666637,1.3127775666666635,1.2211999999999994,1.097739166666662,1.9311999999999991,1.3062975666666627,1.3062975666666625,0.592044600000002,0.0,0.0,0.0,1.326132233333338,1.3261322333333383,-0.0,-0.0,-0.0,2.8919024277777816,5.830000000000002,6.257194500000003,0.0,1.4425694333333379,0.0,0.0,0.0,1.7172875661491918e-20,0.2
fbp,2.7691246499999376,2.2247784499999748,2.3489999999999993,2.3489999999999998,2.385475449999966,4.875739899999919,4.875739899999918,4.532172999999933,4.532172999999933,1.005216150000001,3.184572199999937,0.5443461999999633,0.5443461999999633,0.5443461999999633,0.20776619999998522,0.3286191999999781,0.14195039999999262,0.07730335000003226,0.06581579999999258,1.5621109000000601,1.5621109000000601,1.5621109000000601,1.5621109000000597,1.2420809000000599,1.3470725000000598,1.9710000000000005,1.5556309000000412,1.5556309000000437,0.592044599999995,0.0,0.0,0.0,0.8727988999998758,0.8727988999998757,-0.0,3.2703220427547075e-34,-0.0,2.769124649999938,6.0000000000000036,6.427194500000026,0.0,0.9892360999998762,0.0,0.0,0.0,0.0,0.2
fbaB,2.759999999999999,2.3425175500000046,2.2908,2.2908000000000004,2.4186387166666727,4.899778516666681,4.8997785166666805,4.556211616666693,4.556211616666693,0.671085043378988,2.9973267600456595,0.4174824499999943,0.41748244999999434,0.41748244999999423,0.12319036666666794,0.2863312833333265,0.09966248333333398,0.09966248333333398,0.023527883333333957,2.25177519223745,1.9281647678082094,1.9281647678082094,1.8158383999999999,1.6008,1.6008000000000002,1.9596000000000002,1.9216847678081934,2.034011135616403,0.803328656621031,0.0,0.11232636780820938,0.11232636780820938,-0.0,0.0,-0.0,-0.0,-0.0,2.7599999999999993,8.08,6.409256253424627,0.0,0.0,0.0,0.0,0.0,0.0,0.2
gapC,2.9899999999999998,1.9135999999999993,2.392,2.392,2.4289549333333347,5.13996093333333,5.139960933333329,4.785061733333307,4.785061733333307,1.5118000166667844,3.955190666666647,1.0764,1.0764,1.0763999999999991,0.5624241333333297,0.5060150666666691,0.31934626666666505,0.2542197333333355,0.24307786666666473,2.4621095166665055,2.1199832999997015,2.1199832999997015,0.5616474499998755,1.3754,0.3466090499998758,2.3023,2.113503299999719,2.930199999999998,0.11747411666652108,0.0,1.5583358499998259,0.8166967000002785,-0.0,0.0,-0.0,-0.0,-0.0,2.99,6.79,6.14,0.0,0.0,0.0,0.0,0.0,0.01,0.2
gpmA,2.6999999999999997,2.346117550000012,2.322,2.3219999999999996,2.3798387166666854,4.8009785166667065,4.800978516666706,4.457411616666729,4.457411616666729,0.7037097009132179,2.899951417579905,0.35388244999998764,0.35388244999998764,0.3538824499999877,0.08079036666667021,0.265131283333317,0.07846248333333511,0.07846248333333511,0.002327883333335103,2.2287834114155487,1.9809812061643608,1.980981206164361,1.9430384,1.7280000000000006,1.7279999999999993,1.9440000000000013,1.9745012061643292,2.01244401232869,0.8019039990868251,0.0,0.037942806164360736,0.03794280616436073,-2.126331982823062e-15,0.0,-0.0,-0.0,-0.0,2.7,6.71,6.504105568493073,0.0,-4.056849925186923e-15,0.0,0.0,0.0,0.0,0.2
gpmB,3.4324558053030305,2.214573355303029,2.852466121969698,2.852466121969698,2.8242945219696973,5.977890127272731,5.97789012727273,5.634323227272732,5.634323227272732,1.444035221969701,4.286722427272737,1.2178824500000016,1.2178824500000014,1.2178824500000032,0.6567903666666689,0.5531312833333343,0.3664624833333344,0.3664624833333344,0.2903278833333344,0.21503839999999638,0.21503839999999635,0.21503839999999635,0.21503839999999635,2.9637,0.0,3.230099999999999,0.20855839999999914,0.20855839999999917,0.5920446000000003,0.0,0.0,0.0,3.3220216272727447,3.3220216272727443,-0.0,-0.0,-0.0,3.432455805303031,5.081541477272735,5.508735977272737,0.0,3.4384588272727443,0.0,0.0,0.0,0.0,0.2
pykA,2.8199999999999994,2.4058175499999894,2.3688,2.3688,2.479738716666658,5.02087851666665,5.020878516666649,4.677311616666633,4.677311616666633,0.7301406773972752,3.0009199107305973,0.4141824500000094,0.41418245000000936,0.4141824500000094,0.12099036666666663,0.2852312833333429,0.09856248333333326,0.0,0.022427883333333364,2.295539575799074,1.8945935349315235,1.8945935349315235,1.8224384,1.6074000000000002,1.6074,2.0868000000000007,1.888113534931544,1.960268669863065,0.9208355059360303,0.0,0.07215513493152344,0.07215513493152344,-0.0,0.0,-0.0,-0.0,-0.0,2.8199999999999994,7.17,6.30524255479457,0.0,0.0,0.0,0.0,0.0,0.0,0.2
pykF,2.8000000000000003,2.3201124849999717,2.1,2.1000000000000005,2.437837028333318,4.958976828333313,4.958976828333313,4.615409928333303,4.615409928333302,0.7021421800000327,3.1551392366666877,0.47988751500002863,0.4798875150000286,0.47988751500002574,0.16479374333334734,0.307132971666679,0.12046417166667373,0.0,0.0443295716666736,1.6938070699999515,1.693807069999951,1.693807069999951,1.6938070699999512,1.2638859783333245,1.3688775783333245,1.7920000000000003,1.5774359783333354,1.5774359783333354,0.7019356916666274,0.0,1.775610878154002e-20,0.0,0.7116697666667358,0.7116697666667358,-0.0,2.0118480570153827e-33,-0.0,2.8000000000000007,6.06,6.376913008333364,0.0,0.8281069666667353,0.0,0.0,0.0,0.0,0.2
ppsA,2.9999999999999996,2.5674761487999955,2.46,2.4600000000000004,2.6536249162666907,5.374764716266703,5.374764716266702,5.031197816266777,5.031197816266777,0.41926099066666556,3.0512889069333773,0.4325238512000336,0.43252385120003356,0.4325238512000118,0.13321796746672354,0.2913450837332884,0.10467628373337566,0.10467628373337565,0.028541683733347888,2.418063706933367,1.7857555975999382,1.7857555975999382,1.7857555975999313,2.3700000000000006,1.5707171975999308,2.369999999999999,1.7792755975998467,1.7792755975998467,1.2243527093334268,0.0,6.702393095284081e-15,0.0,-0.0,0.0,-0.0,-0.0,-0.0,3.0000000000000004,9.95,5.997070143999824,0.0,3.7301237567154925e-15,0.0,0.0,0.0,0.0,0.2
zwf,3.1800000000000015,2.8331012000000104,2.8903382000000106,2.8903382000000106,2.8621666000000148,5.7633064000000225,5.7633064000000225,5.419739500000034,5.419739500000034,0.37569077199999173,2.9659221719999933,0.34689879999999007,0.34689879999999007,0.3468987999999897,0.07613460000000001,0.26280339999999003,0.07613460000000001,0.07613460000000001,0.0,2.3326969719999933,1.957005700000008,1.957005700000008,1.9570057000000078,2.1624,1.7419672999999984,3.021000000000001,1.9505256999999827,1.2200004439999343,1.6982611280000417,0.0,2.7702637433723723e-16,0.0,-0.0,0.0,-0.0,-0.0,-0.0,3.18,8.76,5.694670143999951,0.0,0.0,0.0,0.0,0.0,0.0,0.2
